,epochs,t_loss,t_acc,t_iou,v_loss,v_acc,v_iou
0,0,0.31904788692601216,0.9009101986885071,0.22772055864334106,0.2088381052017212,0.9287686347961426,0.16941815614700317
1,1,0.1920404425368477,0.9393020272254944,0.27787965536117554,0.19014307856559753,0.933478057384491,0.18793967366218567
2,2,0.1953856596747079,0.9368985891342163,0.30415254831314087,0.1861603558063507,0.9338957071304321,0.1607578545808792
3,3,0.17420094120555007,0.9411320686340332,0.309455543756485,0.1772027611732483,0.9361286163330078,0.1975059062242508
4,4,0.1644765449156507,0.942621111869812,0.3235824704170227,0.1743338406085968,0.9362573027610779,0.16805148124694824
5,5,0.16054053504903537,0.9439100027084351,0.32020676136016846,0.16992655396461487,0.9382097125053406,0.18902920186519623
6,6,0.15759928266589457,0.9456591606140137,0.3403344750404358,0.1633920669555664,0.9391293525695801,0.18744391202926636
7,7,0.1604725300000073,0.9442399740219116,0.33180272579193115,0.19399604201316833,0.9356957077980042,0.2568153738975525
8,8,0.15281095527387104,0.946759045124054,0.34039515256881714,0.16042383015155792,0.9404807090759277,0.2050132304430008
9,9,0.1507884506852581,,0.34709328413009644,0.15639044344425201,0.9414637088775635,0.210279643535614
10,10,0.1439003178085654,0.9486632943153381,0.327747642993927,0.1535702496767044,0.9424425959587097,0.2136373370885849
11,11,0.14273971306363073,0.9496744871139526,0.32265549898147583,0.15212148427963257,0.9427279233932495,0.22443422675132751
12,12,0.14982725198392588,0.9482102990150452,0.3436771035194397,0.1541908085346222,0.943519115447998,0.24365440011024475
13,13,0.14269814815205067,0.9503315091133118,0.35621529817581177,0.16295894980430603,0.9403684139251709,0.16361446678638458
14,14,0.15028280574374664,0.9476677179336548,0.33729544281959534,0.15290559828281403,0.9435559511184692,0.2507621645927429
15,15,0.1420205908212572,0.9500718116760254,0.36611777544021606,0.15431994199752808,0.9401880502700806,0.15595367550849915
16,16,0.1372647175523572,0.9508947730064392,0.3300723433494568,0.1519971787929535,0.9434897899627686,0.1962958425283432
17,17,0.13696136289479163,0.9525710940361023,0.3710651993751526,0.15987730026245117,0.9387871623039246,0.1545099914073944
18,18,0.13600169461316022,0.952738344669342,0.36374765634536743,0.14427384734153748,0.9460864067077637,0.23893609642982483
19,19,0.13825385086835387,0.9510159492492676,0.3579670786857605,0.15767911076545715,0.9400367140769958,0.26903706789016724
20,20,0.136076942528001,0.9530393481254578,0.370882511138916,0.1431071013212204,0.9456376433372498,0.2045843005180359
21,21,0.12753196926309895,0.9554992914199829,0.3637000620365143,0.13707470893859863,0.9490523934364319,0.2435634285211563
22,22,0.1293138504589502,0.9549983143806458,0.3777758777141571,0.14579562842845917,0.9441909790039062,0.1948677897453308
23,23,0.13048680909783938,0.9524555802345276,0.3730532228946686,0.13776962459087372,0.9482164978981018,0.24496513605117798
24,24,0.12512125975738925,0.9559745192527771,0.3961166739463806,0.13610990345478058,0.9492269158363342,0.24422912299633026
25,25,0.12771762092150032,0.9553632736206055,0.39671584963798523,0.14800535142421722,0.9423735737800598,0.1776660978794098
26,26,0.12615056278912398,0.9548086524009705,0.38578248023986816,0.1473841667175293,0.9463015794754028,0.1861094981431961
27,27,0.12367001001555951,0.9558834433555603,0.3978981673717499,0.13373775780200958,0.9510928392410278,0.27599233388900757
28,28,0.12572964301738793,0.9551938772201538,0.4094131290912628,0.13537420332431793,0.9500270485877991,0.26069676876068115
29,29,0.1249041634086424,0.9549276828765869,0.3765144646167755,0.14270398020744324,0.9470521807670593,0.3001375198364258
30,30,0.11919516251565745,0.9584799408912659,0.40530866384506226,0.12958480417728424,0.9533855319023132,0.27561354637145996
31,31,0.11993682605680078,0.9570848345756531,0.4146181344985962,0.14368891716003418,0.9446998238563538,0.21996819972991943
32,32,0.11742064007557929,0.9586979746818542,0.3951672315597534,0.13242188096046448,0.9527415037155151,0.29875120520591736
33,33,0.11301178693807182,0.9593024849891663,0.4049433469772339,0.1285521537065506,0.9531435966491699,0.27405038475990295
34,34,0.10927388231413296,0.9614817500114441,0.4218701720237732,0.13436616957187653,0.951668918132782,0.22344611585140228
35,35,0.11010054852335881,0.9607926607131958,0.40890562534332275,0.1322612166404724,0.9529691934585571,0.24820967018604279
36,36,0.11568966054190429,0.9581303596496582,0.4071442484855652,0.13236787915229797,0.9473450183868408,0.2208864688873291
37,37,0.11410502957490583,0.958464503288269,0.41804060339927673,0.13341207802295685,0.9503980875015259,0.24156568944454193
38,38,0.11239344789945067,0.9593438506126404,0.40694060921669006,0.12961852550506592,0.9525263905525208,0.29219672083854675
39,39,0.10621180403559731,0.9619085788726807,0.44867467880249023,0.12746690213680267,0.9519471526145935,0.2420467585325241
40,40,0.10447206717127791,0.9632390737533569,0.420267790555954,0.13016106188297272,0.9522648453712463,0.2694934606552124
41,41,0.10478582117670718,0.9630663990974426,0.42711225152015686,0.12288062274456024,0.9553895592689514,0.28050199151039124
42,42,0.10069751301302741,0.964505136013031,0.43789801001548767,0.12716010212898254,0.9541962742805481,0.27895575761795044
43,43,0.10020922465124525,0.9642002582550049,0.4598219394683838,0.12554612755775452,0.9536345601081848,0.2516258656978607
44,44,0.09965861052161273,0.9645565748214722,0.4312218427658081,0.12246061116456985,0.9558730721473694,0.286675363779068
45,45,0.09784254204490796,0.9645455479621887,0.44214850664138794,0.13520225882530212,0.9531096816062927,0.24392732977867126
46,46,0.10060985547263557,0.9631794691085815,0.4482739269733429,0.12008896470069885,0.9562408328056335,0.2990611493587494
